11 10 208 ; 8 11 105 ; 8 12 311 ; 6 3 404 ; 2 15 279 ; 
1 13 411 ; 0 3 37 ; 7 7 369 ; 7 13 374 ; 9 12 246 ; 
3 5 204 ; 14 6 279 ; 10 9 360 ; 13 10 312 ; 12 1 367 ; 
9 12 353 ; 13 14 34 ; 4 11 426 ; 1 14 405 ; 14 4 208 ; 
3 12 113 ; 9 15 24 ; 2 11 130 ; 12 0 244 ; 13 11 453 ; 
10 8 229 ; 8 6 407 ; 3 5 448 ; 1 10 108 ; 5 7 69 ; 
1 12 111 ; 1 5 146 ; 12 11 279 ; 12 12 174 ; 7 9 86 ; 
15 3 296 ; 6 6 362 ; 11 6 26 ; 5 10 305 ; 12 15 279 ; 
9 3 192 ; 14 9 398 ; 9 9 231 ; 5 11 199 ; 15 9 320 ; 
2 5 459 ; 8 11 471 ; 14 9 241 ; 8 11 196 ; 7 14 389 ; 
10 6 234 ; 4 0 491 ; 13 11 37 ; 8 3 2 ; 1 7 132 ; 
7 2 83 ; 2 13 85 ; 12 14 397 ; 7 10 467 ; 5 12 255 ; 
11 10 182 ; 12 1 361 ; 7 6 289 ; 10 4 246 ; 
